Country,Year,HDI,Lifeexpectancy,GDP,Population
Bhutan,2010,0.566,67.9,2178.921383,727641
Bhutan,2011,0.575,68.3,2458.45976,7451
Bhutan,2012,0.585,68.7,2422.816,752967
Bhutan,2013,0.589,69.1,235.882889,764961
Bhutan,2014,0.599,69.4,2522.7968,776448
Bhutan,2015,0.603,69.8,2613.645177,787386
Botswana,2000,0.565,47.8,3349.68823,172834
Botswana,2001,0.567,46.7,3128.97793,1754935
Botswana,2002,0.566,46,355.618382,1779953
Botswana,2003,0.575,46.4,4163.6596,184339
Botswana,2004,0.584,48.1,4896.583835,182933
Botswana,2005,0.596,51.7,5351.253732,1855852
Botswana,2006,0.611,54.8,5374.554867,1884238
Botswana,2007,0.625,56.9,5714.47937,1914414
Botswana,2008,0.639,57.5,5623.379566,1946351
Botswana,2009,0.648,59.2,5185.729845,1979882
Botswana,2010,0.66,61.1,6346.15624,214866
Botswana,2011,0.673,62.2,7645.21469,251339
Botswana,2012,0.683,63.4,729.231453,289315
Botswana,2013,0.693,64.2,77.625783,212857
Botswana,2014,0.701,65.1,7497.762376,2168573
Botswana,2015,0.706,65.7,6532.651,229197
Canada,2000,0.867,79.1,24124.16917,37697
Canada,2001,0.872,79.4,23691.59472,31819
Canada,2002,0.877,79.5,24167.8431,31362
Canada,2003,0.882,79.7,28172.14883,31676
Canada,2004,0.887,80,31979.87195,31995
Canada,2005,0.892,81,36189.58838,32312
Canada,2006,0.895,85,4386.69948,325755
Canada,2007,0.897,85,44544.5268,32887928
Canada,2008,0.899,87,46596.33599,33245773
Canada,2009,0.899,81,4773.45436,33628571
Canada,2010,0.902,81.2,47447.4762,345274
Canada,2011,0.905,81.5,5282.2176,3434278
Canada,2012,0.908,81.6,52496.69487,3475545
Canada,2013,0.911,81.8,52413.72116,35155451
Canada,2014,0.918,82,544.43376,35544564
Canada,2015,0.92,82.2,43315.744,3584861
CentralAfricanRepublic,2000,0.309,46,243.5429317,3754986
CentralAfricanRepublic,2001,0.311,45.6,243.1586486,383223
CentralAfricanRepublic,2002,0.312,45.6,253.768343,397612
CentralAfricanRepublic,2003,0.311,45.7,286.25819,3981665
CentralAfricanRepublic,2004,0.315,45.7,313.21598,45536
CentralAfricanRepublic,2005,0.319,45.9,327.1149461,412791
CentralAfricanRepublic,2006,0.325,46.3,347.673678,421758
CentralAfricanRepublic,2007,0.331,46.8,397.148467,42758
CentralAfricanRepublic,2008,0.337,47.6,456.8614334,4345386
CentralAfricanRepublic,2009,0.343,48.6,449.961839,44423
CentralAfricanRepublic,2010,0.351,49.2,446.4434494,4448525
CentralAfricanRepublic,2011,0.358,49.8,494.336779,4476153
CentralAfricanRepublic,2012,0.365,53,486.41114,449416
CentralAfricanRepublic,2013,0.344,49.9,337.4849614,4499653
CentralAfricanRepublic,2014,0.349,58,377.132274,4515392
CentralAfricanRepublic,2015,0.357,52.5,348.381417,45461
Ghana,2000,0.484,57.2,263.1124679,18938762
Ghana,2001,0.483,57.4,273.6596668,1942165
Ghana,2002,0.489,57.6,39.484473,19924522
Ghana,2003,0.49,57.9,373.2815537,2446782
Ghana,2004,0.498,58.3,423.1936389,2986536
Ghana,2005,0.509,58.9,498.172394,215429
Ghana,2006,0.519,59.4,922.9351677,22113425
Ghana,2007,0.53,59.9,19.686718,227212
Ghana,2008,0.542,63,1224.41554,2329864
Ghana,2009,0.547,66,186.76538,2393831
Ghana,2010,0.554,69,1312.67557,2451214
Ghana,2011,0.563,61.2,1574.978653,25121796
Ghana,2012,0.57,61.6,1629.8222,2573349
Ghana,2013,0.577,61.9,1814.492297,26346251
Ghana,2014,0.576,62.1,1432.227943,26962563
Ghana,2015,0.585,62.4,1361.11395,27582821
Haiti,2000,0.442,58.6,462.486524,85492
Haiti,2001,0.444,58.9,413.7383164,8692567
Haiti,2002,0.446,59.3,393.16327,8834733
Haiti,2003,0.449,59.7,329.782946,8976552
Haiti,2004,0.45,58.7,387.9429725,9119178
Haiti,2005,0.453,65,465.311876,926344
Haiti,2006,0.458,61.1,55.47626,949457
Haiti,2007,0.462,61.8,615.8198192,9556889
Haiti,2008,0.466,62.1,674.7564147,97529
Haiti,2009,0.47,62.5,668.297646,985287
Haiti,2010,0.47,36.3,662.2795182,9999617
Haiti,2011,0.477,62.3,74.9358452,114554
Haiti,2012,0.481,62.3,766.8437623,128921
Haiti,2013,0.486,62.7,81.265673,1431776
Haiti,2014,0.49,63.1,83.1148117,1572466
Haiti,2015,0.493,63.5,814.5463952,171161
India,2000,0.493,62.5,438.864634,1535912
India,2001,0.498,62.9,447.138966,171477855
India,2002,0.504,63.3,466.2842,18987112
India,2003,0.517,63.7,541.1352279,11827848
India,2004,0.526,64,621.3183767,1126135777
India,2005,0.535,64.4,77.819,1144118674
India,2006,0.545,64.8,792.259698,1161977719
India,2007,0.556,65.2,118.166373,1179681239
India,2008,0.564,65.5,991.484634,119714696
India,2009,0.57,66,19.317765,121427132
India,2010,0.581,66.4,1345.77153,12398691
India,2011,0.591,66.8,1461.671957,124723629
India,2012,0.6,67.3,1446.98541,126365852
India,2013,0.607,67.6,1452.195373,127856227
India,2014,0.618,68,1573.11889,1293859294
India,2015,0.627,68.3,1613.18878,1395398
Iraq,2000,0.607,70,,23565413
Iraq,2001,0.614,72,,24251649
Iraq,2002,0.616,74,,24939299
Iraq,2003,0.603,66.5,,25627626
Iraq,2004,0.628,67.2,1391.816923,2631669
Iraq,2005,0.631,66.8,1849.63911,278426
Iraq,2006,0.636,64.7,2351.812429,27697912
Iraq,2007,0.638,65.9,3129.224922,2839433
Iraq,2008,0.643,69.3,4521.3247,29111417
Iraq,2009,0.646,74,3735.144836,29894652
Iraq,2010,0.649,76,452.74948,376271
Iraq,2011,0.656,77,5854.614497,3172753
Iraq,2012,0.659,76,6651.12242,32776571
Iraq,2013,0.666,69.5,6925.22446,33883145
Iraq,2014,0.666,67.9,673.74737,3568
Iraq,2015,0.668,68.9,4974.2693,36115649
Rwanda,2000,0.335,48.3,216.172747,82573
Rwanda,2001,0.345,48.6,21.569654,832946
Rwanda,2002,0.361,57,196.59778,853625
Rwanda,2003,0.374,52,212.6619491,868346
Rwanda,2004,0.391,53.4,236.9114381,8818438
Rwanda,2005,0.408,55.3,287.931877,8991735
Rwanda,2006,0.429,57.6,342.3656294,92658
Rwanda,2007,0.445,59.6,44.853339,944742
Rwanda,2008,0.455,68,5.6687264,978169
Rwanda,2009,0.47,61,539.1538211,9977446
Rwanda,2010,0.485,62.8,563.491487,1246842
Rwanda,2011,0.493,63.8,617.317648,151671
Rwanda,2012,0.5,64.6,678.796973,1788853
Rwanda,2013,0.503,65.2,688.8768557,1165151
Rwanda,2014,0.509,65.7,76.5699517,11345357
Rwanda,2015,0.51,66.1,71.348397,11629553
UnitedKingdom,2000,0.867,77.8,,
UnitedKingdom,2001,0.871,78,,
UnitedKingdom,2002,0.874,78.2,,
UnitedKingdom,2003,0.878,78.3,,
UnitedKingdom,2004,0.886,78.8,,
UnitedKingdom,2005,0.891,79,,
UnitedKingdom,2006,0.889,79.3,,
UnitedKingdom,2007,0.892,79.5,,
UnitedKingdom,2008,0.896,79.6,,
UnitedKingdom,2009,0.899,81,,
UnitedKingdom,2010,0.905,82,,
UnitedKingdom,2011,0.899,86,,
UnitedKingdom,2012,0.898,86,,
UnitedKingdom,2013,0.915,87,,
UnitedKingdom,2014,0.919,81,,
UnitedKingdom,2015,0.918,81.2,,
UnitedStates,2000,0.885,76.8,,
UnitedStates,2001,0.887,76.9,,
UnitedStates,2002,0.889,77,,
UnitedStates,2003,0.893,77.2,,
UnitedStates,2004,0.895,77.5,,
UnitedStates,2005,0.898,77.5,,
UnitedStates,2006,0.901,77.8,,
UnitedStates,2007,0.905,78.1,,
UnitedStates,2008,0.91,78.2,,
UnitedStates,2009,0.91,78.5,,
UnitedStates,2010,0.914,78.7,,
UnitedStates,2011,0.917,78.7,,
UnitedStates,2012,0.918,78.8,,
UnitedStates,2013,0.916,78.9,,
UnitedStates,2014,0.918,79.1,,
UnitedStates,2015,0.92,79.3,,
Yemen,2000,0.443,68,,
Yemen,2001,0.45,61.1,,
Yemen,2002,0.456,61.5,,
Yemen,2003,0.463,61.9,,
Yemen,2004,0.469,62.2,,
Yemen,2005,0.474,62.6,,
Yemen,2006,0.479,63,,
Yemen,2007,0.482,63.4,,
Yemen,2008,0.485,63.8,,
Yemen,2009,0.491,64.1,,
Yemen,2010,0.498,64.4,,
Yemen,2011,0.499,64.6,,
Yemen,2012,0.505,64.7,,
Yemen,2013,0.507,65.4,,
Yemen,2014,0.505,65.4,,
Yemen,2015,0.483,65.7,,
Zimbabwe,2000,0.44,46,547.3588785,12222251
Zimbabwe,2001,0.442,45.3,548.587312,12366165
Zimbabwe,2002,0.435,44.8,57.34834,125525
Zimbabwe,2003,0.428,44.5,453.3511552,12633897
Zimbabwe,2004,0.428,44.3,454.366654,12777511
Zimbabwe,2005,0.43,44.6,444.76575,129432
Zimbabwe,2006,0.435,45.4,414.796232,13124267
Zimbabwe,2007,0.442,46.6,396.9982166,1332999
Zimbabwe,2008,0.439,48.2,325.678573,13558469
Zimbabwe,2009,0.45,50,65.824121,1381599
Zimbabwe,2010,0.467,52.4,713.63562,1486317
Zimbabwe,2011,0.478,54.9,839.927936,14386649
Zimbabwe,2012,0.505,56.6,955.648466,1471826
Zimbabwe,2013,0.516,58,111.227396,155456
Zimbabwe,2014,0.525,59.2,127.47462,15411675
Zimbabwe,2015,0.529,67,118.69383,15777451
